pointing_id,target,utc_start,ra,dec
7850,MSGPS_S_0179,2023-04-14 16:11:54,10:26:03.01,-58:15:10.1
7851,MSGPS_S_0257,2023-04-14 16:35:33,10:41:24.74,-59:07:33.2
7852,MSGPS_S_0336,2023-04-14 16:59:13,10:57:19.57,-59:35:34.7
7853,MSGPS_S_0453,2023-04-14 17:33:54,11:18:01.59,-61:45:02.0
7854,MSGPS_S_0540,2023-04-14 17:57:57,11:34:54.72,-62:41:06.8
7855,MSGPS_S_0639,2023-04-14 18:21:52,11:57:04.17,-63:20:12.2
7856,MSGPS_S_0749,2023-04-14 18:45:40,12:22:39.85,-63:48:01.5
7857,MSGPS_S_0826,2023-04-14 19:09:24,12:40:57.49,-63:57:15.3
7858,MSGPS_S_0881,2023-04-14 19:33:07,12:54:06.09,-63:58:34.1
7859,MSGPS_S_0969,2023-04-14 19:56:53,13:15:04.42,-63:51:29.7
7860,MSGPS_S_1122,2023-04-14 20:26:41,13:52:38.55,-63:25:06.8
7861,MSGPS_S_1309,2023-04-14 20:53:17,14:33:16.89,-61:53:39.2
7862,MSGPS_S_0050,2023-04-18 14:05:43,10:08:48.09,-55:47:22.2
7863,MSGPS_S_0051,2023-04-18 14:29:17,10:08:59.68,-55:30:08.2
7864,MSGPS_S_0052,2023-04-18 14:52:54,10:10:50.50,-55:22:52.8
7865,MSGPS_S_0053,2023-04-18 15:16:33,10:11:01.10,-55:05:38.1
7866,MSGPS_S_0139,2023-04-18 15:40:13,10:22:44.40,-56:47:32.3
7867,MSGPS_S_0223,2023-04-18 16:03:52,10:33:37.84,-58:50:52.1
7868,MSGPS_S_0320,2023-04-18 16:35:51,10:49:49.47,-60:31:36.4
7869,MSGPS_S_0411,2023-04-18 17:02:27,11:10:36.18,-60:51:47.2
7870,MSGPS_S_0507,2023-04-18 17:26:33,11:27:45.58,-62:25:17.1
7871,MSGPS_S_0606,2023-04-18 17:50:32,11:49:34.55,-63:08:36.5
7872,MSGPS_S_0706,2023-04-18 18:14:24,12:13:56.45,-63:25:23.2
7873,MSGPS_S_0805,2023-04-18 18:38:07,12:37:08.93,-63:41:02.0
7874,MSGPS_S_0860,2023-04-18 19:01:50,12:50:10.09,-63:43:38.9
7875,MSGPS_S_0958,2023-04-18 19:31:35,13:12:27.82,-63:52:59.7
7876,MSGPS_S_1068,2023-04-18 19:55:17,13:38:17.03,-63:30:14.4
7877,MSGPS_S_1211,2023-04-18 20:18:59,14:10:25.41,-62:35:51.2
7878,MSGPS_S_1420,2023-04-18 20:45:31,14:53:06.32,-60:31:24.3
7879,MSGPS_S_1640,2023-04-18 21:09:29,15:31:38.17,-57:33:15.4
7880,MSGPS_S_1849,2023-04-18 21:33:20,16:02:23.82,-54:10:03.5
7896,MSGPS_S_0044,2023-04-26 13:11:17,10:02:25.01,-57:00:02.6
7897,MSGPS_S_0045,2023-04-26 13:34:53,10:02:39.90,-56:42:51.3
7898,MSGPS_S_0046,2023-04-26 13:58:29,10:04:35.43,-56:35:57.4
7899,MSGPS_S_0047,2023-04-26 14:22:09,10:04:49.17,-56:18:45.1
7900,MSGPS_S_0048,2023-04-26 14:45:47,10:06:43.09,-56:11:43.8
7901,MSGPS_S_0138,2023-04-26 15:09:27,10:22:38.77,-57:04:49.9
7902,MSGPS_S_0222,2023-04-26 15:33:08,10:33:37.29,-59:08:10.7
7903,MSGPS_S_0319,2023-04-26 16:05:08,10:49:57.44,-60:48:53.2
7904,MSGPS_S_0409,2023-04-26 16:31:49,11:09:01.44,-61:19:29.8
7905,MSGPS_S_0506,2023-04-26 16:55:57,11:28:15.58,-62:42:14.7
7906,MSGPS_S_0605,2023-04-26 17:19:58,11:50:17.88,-63:25:13.1
7907,MSGPS_S_0705,2023-04-26 17:43:51,12:12:19.71,-63:38:55.9
7908,MSGPS_S_0804,2023-04-26 18:07:37,12:35:42.74,-63:55:29.6
7909,MSGPS_S_0859,2023-04-26 18:31:22,12:48:50.52,-63:58:34.4
7910,MSGPS_S_0947,2023-04-26 19:01:09,13:09:50.96,-63:54:19.1
7911,MSGPS_S_1067,2023-04-26 19:24:55,13:39:58.40,-63:43:23.0
7912,MSGPS_S_1210,2023-04-26 19:48:38,14:12:17.05,-62:47:30.1
7913,MSGPS_S_1419,2023-04-26 20:15:12,14:55:04.60,-60:40:50.0
7914,MSGPS_S_1639,2023-04-26 20:39:13,15:33:35.46,-57:40:32.0
7915,MSGPS_S_1848,2023-04-26 21:03:03,16:04:16.03,-54:15:34.9
7916,MSGPS_S_0055,2023-04-29 13:50:48,10:04:07.29,-57:10:21.7
7917,MSGPS_S_0056,2023-04-29 14:14:24,10:04:21.47,-56:53:09.6
7918,MSGPS_S_0057,2023-04-29 14:38:00,10:06:17.22,-56:46:09.9
7919,MSGPS_S_0058,2023-04-29 15:01:40,10:06:30.26,-56:28:56.9
7920,MSGPS_S_0059,2023-04-29 15:25:19,10:08:24.38,-56:21:49.8
7921,MSGPS_S_0140,2023-04-29 15:49:00,10:24:36.18,-56:39:30.1
7922,MSGPS_S_0224,2023-04-29 16:12:41,10:35:33.54,-58:42:13.2
7923,MSGPS_S_0321,2023-04-29 16:44:58,10:51:46.61,-60:22:04.0
7924,MSGPS_S_0418,2023-04-29 17:11:24,11:09:39.16,-61:53:49.4
7925,MSGPS_S_0508,2023-04-29 17:35:25,11:29:36.92,-62:13:46.5
7926,MSGPS_S_0607,2023-04-29 17:59:17,11:51:19.73,-62:56:03.5
7927,MSGPS_S_0715,2023-04-29 18:23:05,12:15:52.85,-63:57:30.8
7928,MSGPS_S_0815,2023-04-29 18:46:53,12:38:20.03,-63:56:27.7
7929,MSGPS_S_0870,2023-04-29 19:10:42,12:51:28.31,-63:58:39.5
7930,MSGPS_S_0959,2023-04-29 19:34:30,13:13:34.47,-63:37:19.9
7931,MSGPS_S_1069,2023-04-29 19:58:15,13:39:08.57,-63:13:55.4
7932,MSGPS_S_1221,2023-04-29 20:21:59,14:14:40.67,-62:42:06.3
7933,MSGPS_S_1430,2023-04-29 20:48:29,14:57:09.80,-60:32:51.6
7934,MSGPS_S_1650,2023-04-29 21:12:23,15:35:20.57,-57:30:28.5
7935,MSGPS_S_1859,2023-04-29 21:36:12,16:05:44.27,-54:04:03.7
7936,MSGPS_S_0060,2023-05-02 12:43:10,10:08:36.32,-56:04:36.0
8059,MSGPS_S_0060,2023-05-15 12:21:23,10:08:36.32,-56:04:36.0
7937,MSGPS_S_0062,2023-05-02 13:06:45,10:10:39.75,-55:40:07.3
8060,MSGPS_S_0062,2023-05-15 12:44:59,10:10:39.75,-55:40:07.3
7938,MSGPS_S_0066,2023-05-02 13:30:18,10:05:50.51,-57:20:35.5
8061,MSGPS_S_0066,2023-05-15 13:08:35,10:05:50.51,-57:20:35.5
7939,MSGPS_S_0067,2023-05-02 13:53:53,10:06:03.97,-57:03:22.8
8062,MSGPS_S_0067,2023-05-15 13:32:11,10:06:03.97,-57:03:22.8
7940,MSGPS_S_0068,2023-05-02 14:17:30,10:07:59.93,-56:56:17.2
8078,MSGPS_S_0068,2023-05-15 20:13:33,10:07:59.93,-56:56:17.2
7941,MSGPS_S_0141,2023-05-02 14:41:08,10:24:40.86,-56:22:12.3
8742,MSGPS_S_0141,2023-07-28 16:50:50,10:24:40.86,-56:22:12.3
7942,MSGPS_S_0225,2023-05-02 15:04:46,10:35:33.13,-58:24:54.6
7943,MSGPS_S_0322,2023-05-02 15:36:41,10:51:37.78,-60:04:47.6
7944,MSGPS_S_0419,2023-05-02 16:03:17,11:09:20.13,-61:36:39.7
7945,MSGPS_S_0509,2023-05-02 16:27:26,11:29:06.63,-61:56:50.0
7946,MSGPS_S_0608,2023-05-02 16:51:26,11:50:36.52,-62:39:28.1
7947,MSGPS_S_0716,2023-05-02 17:15:18,12:14:54.11,-63:41:27.7
7948,MSGPS_S_0816,2023-05-02 17:39:04,12:39:44.94,-63:41:54.3
8625,MSGPS_S_0816,2023-07-09 13:22:25,12:39:44.94,-63:41:54.3
7949,MSGPS_S_0871,2023-05-02 18:02:45,12:52:46.49,-63:43:38.7
9193,MSGPS_S_0871,2023-09-24 08:24:21,12:52:46.49,-63:43:38.7
7950,MSGPS_S_0970,2023-05-02 18:32:30,13:16:09.58,-63:35:45.6
9386,MSGPS_S_0970,2023-11-05 06:23:12,13:16:09.58,-63:35:45.6
7951,MSGPS_S_1078,2023-05-02 18:56:12,13:42:31.70,-63:40:03.7
8073,MSGPS_S_1078,2023-05-15 18:10:53,13:42:31.70,-63:40:03.7
7952,MSGPS_S_1222,2023-05-02 19:19:51,14:12:48.44,-62:30:34.4
7953,MSGPS_S_1431,2023-05-02 19:46:22,14:55:11.40,-60:23:32.7
7954,MSGPS_S_1651,2023-05-02 20:10:22,15:33:23.47,-57:23:18.0
7955,MSGPS_S_1860,2023-05-02 20:34:12,16:03:52.38,-53:58:37.4
7976,MSGPS_S_0069,2023-05-05 12:33:13,10:08:12.25,-56:39:03.6
8124,MSGPS_S_0069,2023-05-23 11:51:16,10:08:12.25,-56:39:03.6
7977,MSGPS_S_0070,2023-05-05 12:56:46,10:10:06.56,-56:31:50.7
8125,MSGPS_S_0070,2023-05-23 12:14:51,10:10:06.56,-56:31:50.7
7978,MSGPS_S_0071,2023-05-05 13:20:22,10:10:17.79,-56:14:36.3
8126,MSGPS_S_0071,2023-05-23 12:38:27,10:10:17.79,-56:14:36.3
7979,MSGPS_S_0072,2023-05-05 13:43:58,10:12:10.48,-56:07:16.3
8127,MSGPS_S_0072,2023-05-23 13:02:05,10:12:10.48,-56:07:16.3
7980,MSGPS_S_0073,2023-05-05 14:07:36,10:12:20.68,-55:50:01.3
8143,MSGPS_S_0073,2023-05-23 19:43:16,10:12:20.68,-55:50:01.3
7981,MSGPS_S_0142,2023-05-05 14:31:16,10:26:30.97,-56:14:03.6
8743,MSGPS_S_0142,2023-07-28 17:18:48,10:26:30.97,-56:14:03.6
7982,MSGPS_S_0226,2023-05-05 14:54:54,10:37:26.94,-58:16:09.4
7983,MSGPS_S_0323,2023-05-05 15:26:52,10:53:32.82,-59:55:09.4
7984,MSGPS_S_0420,2023-05-05 15:53:28,11:11:15.09,-61:26:05.2
7985,MSGPS_S_0510,2023-05-05 16:17:36,11:30:55.75,-61:45:15.5
7986,MSGPS_S_0609,2023-05-05 16:41:34,11:52:19.56,-62:26:52.4
7987,MSGPS_S_0717,2023-05-05 17:05:26,12:16:29.78,-63:27:48.7
7988,MSGPS_S_0817,2023-05-05 17:29:11,12:38:33.68,-63:26:31.1
7989,MSGPS_S_0882,2023-05-05 17:52:53,12:55:22.88,-63:43:28.1
8071,MSGPS_S_0882,2023-05-15 17:17:24,12:55:22.88,-63:43:28.1
7990,MSGPS_S_0971,2023-05-05 18:22:39,13:14:39.91,-63:21:38.3
7991,MSGPS_S_1079,2023-05-05 18:46:22,13:40:49.37,-63:27:01.8
9387,MSGPS_S_1079,2023-11-05 06:46:54,13:40:49.37,-63:27:01.8
7992,MSGPS_S_1223_cand,2023-05-05 19:10:00,14:13:30.22,-62:05:36.7
7993,MSGPS_S_1223,2023-05-05 19:10:00,14:13:19.27,-62:13:38.2
7994,MSGPS_S_1432,2023-05-05 19:36:33,14:55:18.10,-60:06:15.3
7995,MSGPS_S_1652,2023-05-05 20:00:32,15:33:11.67,-57:06:03.8
7996,MSGPS_S_1861,2023-05-05 20:24:24,16:03:29.06,-53:41:39.5
7997,MSGPS_S_0074,2023-05-08 12:20:16,10:14:11.79,-55:42:34.4
8193,MSGPS_S_0074,2023-05-27 11:34:21,10:14:11.79,-55:42:34.4
7998,MSGPS_S_0075,2023-05-08 12:43:52,10:14:20.99,-55:25:18.8
8194,MSGPS_S_0075,2023-05-27 11:57:56,10:14:20.99,-55:25:18.8
7999,MSGPS_S_0076,2023-05-08 13:07:27,10:16:10.56,-55:17:45.1
8195,MSGPS_S_0076,2023-05-27 12:21:35,10:16:10.56,-55:17:45.1
8000,MSGPS_S_0077,2023-05-08 13:31:04,10:07:34.68,-57:30:44.2
8196,MSGPS_S_0077,2023-05-27 12:45:13,10:07:34.68,-57:30:44.2
8001,MSGPS_S_0078,2023-05-08 13:54:40,10:07:47.41,-57:13:30.7
8212,MSGPS_S_0078,2023-05-27 19:26:36,10:07:47.41,-57:13:30.7
8002,MSGPS_S_0143,2023-05-08 14:18:17,10:18:20.01,-58:29:41.4
8739,MSGPS_S_0143,2023-07-28 15:31:49,10:18:20.01,-58:29:41.4
8003,MSGPS_S_0227,2023-05-08 14:41:53,10:37:25.62,-57:58:50.8
8004,MSGPS_S_0324,2023-05-08 15:13:50,10:53:23.20,-59:37:53.4
8005,MSGPS_S_0421,2023-05-08 15:40:28,11:10:55.47,-61:08:56.3
8006,MSGPS_S_0517,2023-05-08 16:04:35,11:30:39.22,-62:47:38.4
8067,MSGPS_S_0517,2023-05-15 15:42:10,11:30:39.22,-62:47:38.4
8007,MSGPS_S_0616,2023-05-08 16:28:34,11:52:48.61,-63:29:11.8
8068,MSGPS_S_0616,2023-05-15 16:06:08,11:52:48.61,-63:29:11.8
8008,MSGPS_S_0718,2023-05-08 16:52:25,12:15:31.69,-63:11:46.6
8009,MSGPS_S_0818,2023-05-08 17:16:10,12:39:57.01,-63:11:57.2
8010,MSGPS_S_0883,2023-05-08 17:39:53,12:54:03.32,-63:28:35.3
8011,MSGPS_S_0979,2023-05-08 18:09:38,13:19:13.40,-64:03:49.5
8072,MSGPS_S_0979,2023-05-15 17:47:09,13:19:13.40,-64:03:49.5
8012,MSGPS_S_1080,2023-05-08 18:33:19,13:41:39.39,-63:10:39.4
8013,MSGPS_S_1232,2023-05-08 18:56:59,14:17:03.41,-62:36:33.4
8014,MSGPS_S_1441,2023-05-08 19:23:31,14:59:13.98,-60:24:46.0
8630,MSGPS_S_1441,2023-07-09 15:30:20,14:59:13.98,-60:24:46.0
8015,MSGPS_S_1661,2023-05-08 19:47:28,15:37:04.71,-57:20:19.8
8016,MSGPS_S_1870,2023-05-08 20:11:19,16:07:11.69,-53:52:28.7
8632,MSGPS_S_1870,2023-07-09 16:18:07,16:07:11.69,-53:52:28.7
8017,MSGPS_S_0039,2023-04-21 13:30:13,10:07:08.19,-55:37:17.4
8018,MSGPS_S_0040,2023-04-21 13:53:50,10:07:20.46,-55:20:04.0
8019,MSGPS_S_0041,2023-04-21 14:17:28,10:09:11.11,-55:12:54.2
8020,MSGPS_S_0042,2023-04-21 14:41:04,10:09:22.39,-54:55:40.2
8021,MSGPS_S_0043,2023-04-21 15:04:43,10:11:11.55,-54:48:23.5
8022,MSGPS_S_0136,2023-04-21 15:28:22,10:20:38.67,-57:30:02.6
8023,MSGPS_S_0221,2023-04-21 15:52:00,10:31:39.64,-59:16:43.0
8024,MSGPS_S_0310,2023-04-21 16:23:57,10:49:41.63,-60:14:19.4
8025,MSGPS_S_0408,2023-04-21 16:50:34,11:07:06.15,-61:29:57.3
8026,MSGPS_S_0497,2023-04-21 17:14:41,11:27:16.13,-62:08:19.1
8027,MSGPS_S_0596,2023-04-21 17:38:41,11:48:52.02,-62:51:59.1
8028,MSGPS_S_0704,2023-04-21 18:02:32,12:13:16.91,-63:55:02.8
8029,MSGPS_S_0803,2023-04-21 18:26:16,12:36:53.66,-64:10:58.0
8030,MSGPS_S_0858,2023-04-21 18:50:00,12:50:08.73,-64:13:37.7
8031,MSGPS_S_0946,2023-04-21 19:19:44,13:11:19.94,-64:08:37.5
8032,MSGPS_S_1056,2023-04-21 19:43:28,13:37:24.52,-63:46:32.3
8033,MSGPS_S_1199,2023-04-21 20:07:08,14:09:52.56,-62:52:44.9
8034,MSGPS_S_1408,2023-04-21 20:33:40,14:52:58.38,-60:48:41.2
8035,MSGPS_S_1628,2023-04-21 20:57:37,15:31:49.40,-57:50:30.1
8036,MSGPS_S_1837,2023-04-21 21:21:29,16:02:46.98,-54:27:02.0
8039,MSGPS_S_0079,2023-05-11 12:14:17,10:09:43.56,-57:06:19.3
8213,MSGPS_S_0079,2023-06-03 11:06:27,10:09:43.56,-57:06:19.3
8040,MSGPS_S_0080,2023-05-11 12:37:50,10:09:55.15,-56:49:05.0
8214,MSGPS_S_0080,2023-06-03 11:30:01,10:09:55.15,-56:49:05.0
8041,MSGPS_S_0081,2023-05-11 13:01:26,10:11:49.63,-56:41:46.3
8215,MSGPS_S_0081,2023-06-03 11:53:38,10:11:49.63,-56:41:46.3
8042,MSGPS_S_0082,2023-05-11 13:25:02,10:12:00.14,-56:24:31.4
8216,MSGPS_S_0082,2023-06-03 12:17:17,10:12:00.14,-56:24:31.4
8043,MSGPS_S_0083,2023-05-11 13:48:40,10:13:52.99,-56:17:05.6
8232,MSGPS_S_0083,2023-06-03 18:58:49,10:13:52.99,-56:17:05.6
8044,MSGPS_S_0144,2023-05-11 14:12:17,10:18:27.97,-58:12:24.8
8779,MSGPS_S_0144,2023-08-01 15:17:31,10:18:27.97,-58:12:24.8
8045,MSGPS_S_0228,2023-05-11 14:35:54,10:39:17.59,-57:49:59.4
8046,MSGPS_S_0325,2023-05-11 15:07:55,10:55:16.20,-59:28:09.6
8047,MSGPS_S_0422,2023-05-11 15:34:31,11:12:48.22,-60:58:16.9
8048,MSGPS_S_0518,2023-05-11 15:58:39,11:30:07.78,-62:30:42.7
8049,MSGPS_S_0617,2023-05-11 16:22:37,11:52:03.75,-63:12:38.1
8050,MSGPS_S_0719,2023-05-11 16:46:29,12:17:05.45,-62:58:06.0
8051,MSGPS_S_0827,2023-05-11 17:10:12,12:42:21.09,-63:42:36.2
8070,MSGPS_S_0827,2023-05-15 16:53:41,12:42:21.09,-63:42:36.2
8052,MSGPS_S_0884,2023-05-11 17:33:54,12:55:18.81,-63:13:29.4
8053,MSGPS_S_0980,2023-05-11 18:03:40,13:17:40.73,-63:49:49.4
8137,MSGPS_S_0980,2023-05-23 17:16:56,13:17:40.73,-63:49:49.4
8054,MSGPS_S_1089,2023-05-11 18:27:24,13:45:04.39,-63:36:34.3
8138,MSGPS_S_1089,2023-05-23 17:40:37,13:45:04.39,-63:36:34.3
8055,MSGPS_S_1233,2023-05-11 18:51:04,14:15:10.63,-62:25:08.6
8056,MSGPS_S_1442,2023-05-11 19:17:36,14:57:15.49,-60:15:33.9
8057,MSGPS_S_1662,2023-05-11 19:41:35,15:35:07.82,-57:13:15.1
8058,MSGPS_S_1871,2023-05-11 20:05:27,16:05:20.14,-53:47:07.3
8063,MSGPS_S_0164,2023-05-15 13:55:49,10:30:04.51,-56:32:04.6
8064,MSGPS_S_0242,2023-05-15 14:19:30,10:35:35.20,-59:51:27.4
8065,MSGPS_S_0341,2023-05-15 14:51:29,10:54:13.00,-61:04:13.1
8066,MSGPS_S_0429,2023-05-15 15:18:04,11:11:55.41,-62:00:22.5
8069,MSGPS_S_0726,2023-05-15 16:29:58,12:18:29.24,-63:59:48.4
8113,MSGPS_S_0726,2023-05-19 16:17:41,12:18:29.24,-63:59:48.4
8074,MSGPS_S_1265,2023-05-15 18:37:31,14:24:06.22,-62:19:01.7
8075,MSGPS_S_1463,2023-05-15 19:01:37,15:03:19.25,-60:08:13.8
8076,MSGPS_S_1694,2023-05-15 19:25:31,15:42:11.48,-56:49:22.4
8077,MSGPS_S_1892,2023-05-15 19:49:20,16:10:04.17,-53:29:07.2
8101,MSGPS_S_0084,2023-05-19 11:45:21,10:14:02.46,-55:59:50.0
8102,MSGPS_S_0085,2023-05-19 12:08:57,10:15:53.71,-55:52:17.3
8103,MSGPS_S_0086,2023-05-19 12:32:34,10:16:02.19,-55:35:01.2
8104,MSGPS_S_0087,2023-05-19 12:56:13,10:17:51.88,-55:27:21.9
8105,MSGPS_S_0088,2023-05-19 13:19:51,10:09:19.81,-57:40:47.5
8106,MSGPS_S_0145,2023-05-19 13:43:29,10:20:25.08,-58:04:36.9
8780,MSGPS_S_0145,2023-08-01 15:45:11,10:20:25.08,-58:04:36.9
8107,MSGPS_S_0229,2023-05-19 14:07:12,10:39:15.40,-57:32:41.0
8108,MSGPS_S_0327,2023-05-19 14:39:08,10:56:56.85,-59:01:04.8
8109,MSGPS_S_0423_cand,2023-05-19 15:05:47,11:11:48.73,-60:39:23.3
8110,MSGPS_S_0423,2023-05-19 15:05:47,11:12:28.04,-60:41:08.9
8111,MSGPS_S_0519,2023-05-19 15:29:53,11:31:58.56,-62:19:05.1
8622,MSGPS_S_0519,2023-07-09 12:10:55,11:31:58.56,-62:19:05.1
8112,MSGPS_S_0618,2023-05-19 15:53:51,11:53:48.11,-62:59:58.4
8114,MSGPS_S_0828,2023-05-19 16:41:22,12:41:08.41,-63:27:17.8
8524,MSGPS_S_0828,2023-06-29 14:03:06,12:41:08.41,-63:27:17.8
8115,MSGPS_S_0891,2023-05-19 17:05:06,12:58:06.24,-64:13:05.2
8136,MSGPS_S_0891,2023-05-23 16:47:10,12:58:06.24,-64:13:05.2
8116,MSGPS_S_0981,2023-05-19 17:34:53,13:18:44.39,-63:34:00.9
8627,MSGPS_S_0981,2023-07-09 14:15:53,13:18:44.39,-63:34:00.9
8117,MSGPS_S_1090,2023-05-19 17:58:36,13:43:21.12,-63:23:39.1
8628,MSGPS_S_1090,2023-07-09 14:39:38,13:43:21.12,-63:23:39.1
8118,MSGPS_S_1234,2023-05-19 18:22:16,14:15:40.04,-62:08:10.5
8119,MSGPS_S_1443,2023-05-19 18:48:49,14:57:21.09,-59:58:16.2
8120,MSGPS_S_1663,2023-05-19 19:12:46,15:34:55.28,-56:56:01.6
